x,y,value
1,0,shoes
1,1,movies
1,2,computers
2,0,shoes
2,1,movies
2,2,computers
2,3,home&garden
3,0,clothing
3,1,movies
4,0,handbags
4,1,movies
4,2,games
5,0,shoes
5,1,movies
5,2,computers
5,3,home&garden
5,4,handbags
6,0,movies
6,1,computers
6,2,home&garden
6,3,handbags
6,4,clothing
6,5,shoes
7,0,movies
7,1,electronics
8,0,movies
8,1,electronics
9,0,movies
9,1,games
9,2,electronics
10,0,movies
10,1,electronics
11,0,movies
11,1,games
12,0,movies
12,1,books
13,0,movies
13,1,electronics
14,0,clothing
14,1,movies
15,0,clothing
15,1,movies
16,0,movies
16,1,electronics
16,2,computers
17,0,clothing
17,1,computers
17,2,movies
17,3,electronics
18,0,movies
18,1,games
19,0,clothing
19,1,movies
19,2,electronics
20,0,movies
20,1,clothing
21,0,handbags
21,1,home&garden
21,2,movies
22,0,movies
22,1,computers
22,2,home&garden
23,0,movies
23,1,computers
23,2,home&garden
23,3,handbags
24,0,movies
24,1,games
25,0,movies
25,1,games
25,2,electronics
25,3,computers
25,4,home&garden
25,5,handbags
26,0,movies
26,1,computers
26,2,shoes
27,0,movies
27,1,computers
27,2,home&garden
27,3,handbags
28,0,movies
28,1,games
29,0,computers
29,1,movies
29,2,games
30,0,home&garden
30,1,handbags
30,2,computers
30,3,electronics
30,4,movies
31,0,movies
31,1,electronics
32,0,movies
32,1,games
32,2,electronics
33,0,movies
33,1,games
34,0,clothing
34,1,movies
35,0,movies
35,1,handbags
36,0,movies
36,1,electronics
37,0,movies
37,1,clothing
38,0,clothing
38,1,movies
39,0,clothing
39,1,movies
40,0,movies
40,1,handbags
40,2,electronics
41,0,movies
41,1,shoes
42,0,movies
42,1,games
43,0,movies
43,1,games
44,0,movies
44,1,computers
44,2,home&garden
45,0,movies
45,1,computers
46,0,shoes
46,1,movies
46,2,computers
46,3,home&garden
47,0,movies
47,1,electronics
48,0,movies
48,1,electronics
49,0,movies
49,1,electronics
50,0,electronics
50,1,movies
50,2,clothing
51,0,clothing
51,1,movies
52,0,movies
52,1,electronics
53,0,movies
53,1,electronics
54,0,movies
54,1,shoes
55,0,movies
55,1,games
56,0,handbags
56,1,movies
56,2,games
56,3,electronics
56,4,computers
56,5,home&garden
57,0,movies
57,1,computers
57,2,home&garden
58,0,movies
58,1,computers
59,0,handbags
59,1,movies
59,2,games
59,3,electronics
60,0,clothing
60,1,movies
61,0,shoes
61,1,movies
62,0,movies
62,1,electronics
62,2,computers
62,3,home&garden
63,0,movies
63,1,home&garden
64,0,movies
64,1,electronics
64,2,computers
65,0,movies
65,1,handbags
66,0,movies
66,1,computers
67,0,movies
67,1,electronics
67,2,computers
67,3,home&garden
67,4,handbags
67,5,clothing
68,0,movies
68,1,electronics
68,2,computers
68,3,home&garden
68,4,handbags
68,5,clothing
69,0,movies
69,1,clothing
69,2,electronics
69,3,computers
70,0,clothing
70,1,movies
70,2,electronics
71,0,movies
71,1,handbags
71,2,clothing
72,0,clothing
72,1,movies
72,2,electronics
73,0,clothing
73,1,movies
74,0,movies
74,1,electronics
75,0,movies
75,1,electronics
76,0,movies
76,1,games
76,2,electronics
76,3,computers
76,4,home&garden
76,5,handbags
77,0,movies
77,1,electronics
78,0,movies
78,1,clothing
79,0,clothing
79,1,movies
79,2,electronics
80,0,electronics
80,1,movies
80,2,computers
81,0,clothing
81,1,movies
81,2,electronics
82,0,movies
82,1,computers
83,0,movies
83,1,games
84,0,movies
84,1,games
84,2,electronics
84,3,computers
84,4,home&garden
85,0,movies
85,1,games
85,2,electronics
85,3,computers
85,4,home&garden
85,5,handbags
86,0,movies
86,1,home&garden
87,0,movies
87,1,electronics
87,2,computers
88,0,clothing
88,1,movies
88,2,electronics
88,3,computers
88,4,home&garden
89,0,movies
89,1,clothing
90,0,movies
90,1,clothing
91,0,shoes
91,1,movies
92,0,movies
92,1,electronics
92,2,handbags
93,0,movies
93,1,clothing
94,0,shoes
94,1,movies
95,0,electronics
95,1,movies
95,2,computers
96,0,movies
96,1,computers
97,0,movies
97,1,clothing
98,0,movies
98,1,electronics
98,2,computers
98,3,home&garden
98,4,handbags
99,0,clothing
99,1,movies
100,0,movies
100,1,electronics
101,0,movies
101,1,computers
101,2,home&garden
102,0,movies
102,1,electronics
103,0,movies
103,1,electronics
104,0,movies
104,1,computers
105,0,movies
105,1,computers
105,2,home&garden
105,3,shoes
106,0,movies
106,1,games
106,2,electronics
107,0,movies
107,1,computers
107,2,home&garden
108,0,movies
108,1,handbags
109,0,handbags
109,1,movies
109,2,games
109,3,electronics
110,0,home&garden
110,1,movies
111,0,handbags
111,1,movies
112,0,clothing
112,1,movies
113,0,clothing
113,1,movies
114,0,shoes
114,1,movies
114,2,computers
115,0,movies
115,1,games
115,2,electronics
116,0,handbags
116,1,clothing
116,2,computers
116,3,movies
117,0,movies
117,1,computers
118,0,movies
118,1,electronics
118,2,clothing
119,0,movies
119,1,electronics
120,0,movies
120,1,games
121,0,shoes
121,1,movies
122,0,movies
122,1,games
123,0,movies
123,1,computers
124,0,movies
124,1,electronics
124,2,computers
124,3,home&garden
125,0,movies
125,1,electronics
125,2,computers
125,3,home&garden
126,0,clothing
126,1,movies
127,0,movies
127,1,computers
127,2,home&garden
127,3,handbags
128,0,movies
128,1,games
128,2,computers
129,0,movies
129,1,games
130,0,movies
130,1,electronics
131,0,movies
131,1,electronics
132,0,handbags
132,1,movies
133,0,computers
133,1,movies
134,0,movies
134,1,electronics
135,0,movies
135,1,clothing
136,0,movies
136,1,shoes
137,0,clothing
137,1,movies
138,0,movies
138,1,games
138,2,electronics
139,0,home&garden
139,1,handbags
139,2,clothing
139,3,computers
139,4,electronics
139,5,movies
140,0,movies
140,1,electronics
140,2,computers
140,3,home&garden
140,4,handbags
140,5,clothing
141,0,movies
141,1,computers
141,2,home&garden
141,3,handbags
141,4,clothing
141,5,shoes
142,0,movies
142,1,games
142,2,electronics
143,0,movies
143,1,electronics
143,2,computers
144,0,movies
144,1,electronics
144,2,computers
145,0,movies
145,1,games
146,0,movies
146,1,electronics
146,2,computers
147,0,computers
147,1,movies
148,0,movies
148,1,computers
148,2,home&garden
149,0,movies
149,1,games
149,2,electronics
149,3,computers
150,0,movies
150,1,computers
150,2,home&garden
151,0,movies
151,1,games
152,0,movies
152,1,electronics
153,0,movies
153,1,shoes
154,0,movies
154,1,clothing
155,0,handbags
155,1,movies
156,0,movies
156,1,computers
157,0,movies
157,1,computers
158,0,shoes
158,1,movies
159,0,clothing
159,1,movies
159,2,electronics
160,0,movies
160,1,shoes
161,0,movies
161,1,electronics
162,0,movies
162,1,clothing
163,0,movies
163,1,electronics
164,0,clothing
164,1,movies
164,2,electronics
164,3,computers
165,0,movies
165,1,games
165,2,electronics
165,3,computers
165,4,home&garden
165,5,handbags
166,0,movies
166,1,games
167,0,movies
167,1,electronics
168,0,movies
168,1,computers
169,0,clothing
169,1,movies
169,2,electronics
169,3,computers
169,4,home&garden
169,5,handbags
170,0,movies
170,1,clothing
170,2,electronics
171,0,movies
171,1,electronics
171,2,handbags
171,3,clothing
172,0,movies
172,1,computers
173,0,movies
173,1,electronics
173,2,computers
174,0,movies
174,1,shoes
175,0,movies
175,1,electronics
176,0,clothing
176,1,computers
176,2,movies
176,3,home&garden
176,4,electronics
177,0,shoes
177,1,movies
177,2,computers
178,0,movies
178,1,games
179,0,movies
179,1,electronics
179,2,computers
179,3,clothing
179,4,home&garden
179,5,handbags
180,0,electronics
180,1,computers
180,2,movies
181,0,movies
181,1,electronics
181,2,computers
181,3,home&garden
181,4,handbags
181,5,clothing
182,0,movies
182,1,clothing
182,2,home&garden
183,0,movies
183,1,games
184,0,movies
184,1,games
185,0,movies
185,1,computers
186,0,clothing
186,1,movies
187,0,handbags
187,1,electronics
187,2,movies
187,3,computers
187,4,home&garden
188,0,handbags
188,1,movies
189,0,movies
189,1,electronics
190,0,movies
190,1,games
191,0,clothing
191,1,movies
191,2,electronics
191,3,home&garden
191,4,handbags
192,0,movies
192,1,games
193,0,movies
193,1,home&garden
193,2,handbags
194,0,movies
194,1,computers
194,2,home&garden
195,0,movies
195,1,clothing
196,0,shoes
196,1,handbags
196,2,movies
197,0,clothing
197,1,movies
198,0,handbags
198,1,movies
198,2,computers
199,0,shoes
199,1,movies
200,0,clothing
200,1,movies
201,0,home&garden
201,1,movies
201,2,electronics
201,3,computers
202,0,clothing
202,1,movies
202,2,electronics
202,3,computers
202,4,home&garden
203,0,movies
203,1,games
204,0,movies
204,1,electronics
205,0,movies
205,1,electronics
206,0,movies
206,1,electronics
207,0,clothing
207,1,movies
208,0,movies
208,1,electronics
208,2,home&garden
208,3,handbags
209,0,movies
209,1,electronics
209,2,computers
210,0,movies
210,1,computers
210,2,home&garden
210,3,handbags
210,4,clothing
210,5,shoes
211,0,computers
211,1,movies
211,2,home&garden
212,0,movies
212,1,electronics
212,2,computers
212,3,home&garden
212,4,handbags
212,5,clothing
213,0,movies
213,1,electronics
214,0,shoes
214,1,movies
215,0,movies
215,1,games
215,2,electronics
215,3,computers
215,4,home&garden
216,0,handbags
216,1,movies
216,2,games
217,0,movies
217,1,computers
217,2,electronics
217,3,home&garden
218,0,movies
218,1,games
219,0,shoes
219,1,movies
219,2,computers
220,0,movies
220,1,electronics
221,0,movies
221,1,electronics
221,2,computers
222,0,movies
222,1,electronics
222,2,computers
222,3,home&garden
222,4,handbags
222,5,clothing
223,0,movies
223,1,computers
224,0,movies
224,1,computers
224,2,home&garden
224,3,handbags
224,4,clothing
224,5,shoes
225,0,movies
225,1,electronics
225,2,clothing
226,0,movies
226,1,electronics
227,0,clothing
227,1,movies
227,2,electronics
228,0,movies
228,1,electronics
229,0,movies
229,1,games
230,0,movies
230,1,computers
231,0,shoes
231,1,movies
231,2,computers
232,0,shoes
232,1,clothing
232,2,handbags
232,3,home&garden
232,4,computers
232,5,movies
233,0,movies
233,1,electronics
233,2,computers
233,3,home&garden
233,4,handbags
234,0,movies
234,1,electronics
235,0,movies
235,1,electronics
236,0,shoes
236,1,movies
237,0,movies
237,1,games
238,0,shoes
238,1,movies
239,0,shoes
239,1,movies
240,0,movies
240,1,games
241,0,movies
241,1,electronics
242,0,movies
242,1,electronics
243,0,shoes
243,1,movies
243,2,computers
244,0,movies
244,1,clothing
245,0,movies
245,1,shoes
246,0,movies
246,1,electronics
246,2,games
246,3,computers
246,4,home&garden
246,5,handbags
247,0,movies
247,1,home&garden
247,2,handbags
247,3,clothing
248,0,clothing
248,1,movies
249,0,movies
249,1,games
250,0,movies
250,1,games
251,0,handbags
251,1,movies
251,2,games
252,0,movies
252,1,electronics
253,0,movies
253,1,electronics
253,2,clothing
253,3,home&garden
253,4,computers
254,0,movies
254,1,shoes
254,2,computers
255,0,movies
255,1,electronics
255,2,computers
255,3,home&garden
255,4,handbags
255,5,clothing
256,0,movies
256,1,computers
256,2,home&garden
256,3,handbags
256,4,clothing
256,5,shoes
257,0,movies
257,1,computers
257,2,home&garden
257,3,handbags
258,0,shoes
258,1,movies
258,2,home&garden
259,0,handbags
259,1,movies
259,2,games
260,0,movies
260,1,home&garden
260,2,computers
260,3,electronics
261,0,movies
261,1,computers
261,2,shoes
261,3,home&garden
261,4,handbags
261,5,clothing
262,0,movies
262,1,games
262,2,electronics
262,3,computers
262,4,home&garden
262,5,handbags
263,0,movies
263,1,electronics
263,2,computers
264,0,shoes
264,1,computers
264,2,movies
265,0,handbags
265,1,games
265,2,movies
265,3,electronics
266,0,movies
266,1,computers
267,0,clothing
267,1,movies
268,0,movies
268,1,clothing
268,2,electronics
269,0,movies
269,1,computers
270,0,movies
270,1,games
271,0,movies
271,1,computers
271,2,shoes
271,3,home&garden
272,0,movies
272,1,electronics
273,0,movies
273,1,computers
273,2,shoes
274,0,movies
274,1,electronics
275,0,home&garden
275,1,movies
275,2,handbags
275,3,electronics
275,4,automotive
276,0,movies
276,1,electronics
277,0,clothing
277,1,movies
278,0,clothing
278,1,movies
278,2,home&garden
278,3,electronics
279,0,handbags
279,1,movies
280,0,electronics
280,1,movies
281,0,handbags
281,1,movies
281,2,games
281,3,electronics
282,0,movies
282,1,electronics
283,0,movies
283,1,shoes
284,0,movies
284,1,handbags
285,0,movies
285,1,electronics
285,2,clothing
286,0,movies
286,1,clothing
287,0,movies
287,1,shoes
288,0,handbags
288,1,movies
288,2,clothing
289,0,movies
289,1,games
290,0,clothing
290,1,home&garden
290,2,movies
291,0,clothing
291,1,movies
292,0,clothing
292,1,movies
293,0,clothing
293,1,movies
294,0,movies
294,1,computers
295,0,movies
295,1,electronics
295,2,clothing
296,0,movies
296,1,games
296,2,electronics
296,3,computers
296,4,home&garden
296,5,handbags
297,0,clothing
297,1,movies
298,0,clothing
298,1,movies
298,2,electronics
298,3,handbags
298,4,home&garden
299,0,clothing
299,1,movies
299,2,electronics
299,3,computers
299,4,home&garden
299,5,handbags
300,0,movies
300,1,computers
301,0,movies
301,1,electronics
302,0,shoes
302,1,movies
303,0,movies
303,1,electronics
304,0,movies
304,1,games
305,0,movies
305,1,home&garden
306,0,shoes
306,1,movies
307,0,movies
307,1,electronics
308,0,movies
308,1,shoes
309,0,movies
309,1,computers
310,0,movies
310,1,computers
311,0,computers
311,1,movies
311,2,home&garden
312,0,movies
312,1,electronics
313,0,movies
313,1,games
314,0,handbags
314,1,clothing
314,2,movies
315,0,games
315,1,movies
316,0,movies
316,1,home&garden
317,0,movies
317,1,electronics
318,0,clothing
318,1,movies
318,2,electronics
318,3,computers
319,0,movies
319,1,handbags
320,0,movies
320,1,electronics
321,0,clothing
321,1,movies
321,2,electronics
322,0,shoes
322,1,handbags
322,2,home&garden
322,3,computers
322,4,movies
323,0,clothing
323,1,movies
323,2,electronics
324,0,handbags
324,1,computers
324,2,movies
325,0,shoes
325,1,movies
325,2,clothing
326,0,shoes
326,1,movies
327,0,home&garden
327,1,movies
328,0,movies
328,1,games
329,0,handbags
329,1,movies
329,2,games
329,3,electronics
329,4,computers
330,0,movies
330,1,computers
330,2,home&garden
